Configuration,TP,FP,TN,FN,Precision,Recall,F1
Full Architecture,179,3894,1470,29,0.04394794991406825,0.8605769230769231,0.08362532118663864
Without Layer 1,167,3893,1471,41,0.04113300492610837,0.8028846153846154,0.07825679475164012
Without Layer 2,110,347,5017,98,0.24070021881838075,0.5288461538461539,0.3308270676691729
Without Layer 3,172,3887,1477,36,0.0423749692042375,0.8269230769230769,0.08061870166393251
Without Layer 4,179,3894,1470,29,0.04394794991406825,0.8605769230769231,0.08362532118663864
Without Layer 5,176,3799,1565,32,0.04427672955974843,0.8461538461538461,0.08415013148458045
